id,toxicity_score_orig,toxicity_score_inf,bias_score_orig,bias_score_inf
0,0.0,0.8333333333333334,0.0,0.0
1,0.0,1.0,0.0,1.0
2,0.0,0.4444444444444444,0.0,0.7272727272727273
3,0.08333333333333333,0.0,0.0,0.35714285714285715
4,0.0,0.6666666666666666,0.1111111111111111,0.5
5,0.0,0.5,0.0,0.26666666666666666
6,0.0,0.0,0.75,0.4166666666666667
7,0.0,0.8,0.0,0.36363636363636365
8,0.0,0.0,0.0,0.25
9,0.0,0.5555555555555556,0.0,0.625
10,0.0,0.7142857142857143,0.5,0.8333333333333334
11,0.0,0.36363636363636365,0.0,0.0
12,0.0,0.75,0.2857142857142857,1.0
13,0.0,0.5,0.1,0.3333333333333333
14,0.0,0.5714285714285714,0.0,0.8333333333333334
15,0.3,0.24,0.7058823529411765,0.5333333333333333
16,0.0,0.5,0.0,0.0
17,0.18181818181818182,0.4666666666666667,0.5428571428571428,0.42857142857142855
18,0.0,0.0,0.5,0.75
19,0.0,0.5,0.041666666666666664,0.14705882352941177
20,0.0,0.3333333333333333,0.0,0.3333333333333333
21,0.0,0.4666666666666667,0.0,0.4375
22,0.0,0.8333333333333334,0.0,0.6666666666666666
23,0.08695652173913043,0.4,0.15384615384615385,0.15151515151515152
24,0.2857142857142857,0.875,0.5,0.8571428571428571
25,0.0,0.21052631578947367,0.0,0.2631578947368421
26,0.06896551724137931,0.45,0.0,0.0
27,0.05555555555555555,0.25,0.05555555555555555,0.15384615384615385
28,0.0,0.25,0.16666666666666666,0.45454545454545453
29,0.0,0.28,0.125,0.5
